Age,Male,Female,Total
0,406097,385157,791254
1,401359,379436,780795
2,404878,384267,789145
3,412034,391300,803334
4,416024,394781,810805
5,417887,398255,816142
6,405618,383779,789397
7,400215,379063,779278
8,386770,365699,752469
9,386136,364719,750855
10,377542,357124,734666
11,386600,366000,752600
12,381515,359732,741247
13,390561,369519,760080
14,388940,365928,754868
15,381718,358300,740018
16,386716,363341,750057
17,394974,371275,766249
18,398995,373955,772950
19,412995,384711,797706
20,431701,399734,831435
21,460307,423980,884287
22,474807,428184,902991
23,486852,443280,930132
24,510571,463111,973682
25,505883,462712,968595
26,497899,455858,953757
27,503198,463010,966208
28,516319,478314,994633
29,522376,487160,1009536
30,538596,503815,1042411
31,586563,547591,1134154
32,576449,542256,1118705
33,588800,552979,1141779
34,574855,541700,1116555
35,560457,534525,1094982
36,542297,519036,1061333
37,536692,516341,1053033
38,534769,518454,1053223
39,543567,529056,1072623
40,535213,527360,1062573
41,536139,530491,1066630
42,509647,504988,1014635
43,502153,497430,999583
44,496878,492000,988878
45,485871,484089,969960
46,473754,470050,943804
47,477217,477017,954234
48,479512,480436,959948
49,519348,517110,1036458
50,569621,566089,1135710
51,589256,585498,1174754
52,632901,624976,1257877
53,660615,652838,1313453
54,674763,668555,1343318
55,690613,683906,1374519
56,690594,683344,1373938
57,699204,695210,1394414
58,688851,687826,1376677
59,661238,666011,1327249
60,644532,655992,1300524
61,618018,632757,1250775
62,595750,612540,1208290
63,557493,576804,1134297
64,538134,562024,1100158
65,515917,545892,1061809
66,491362,529031,1020393
67,472107,519841,991948
68,449515,502401,951916
69,442755,499109,941864
70,427480,485566,913046
71,421565,481432,902997
72,402268,459897,862165
73,361662,414472,776134
74,331581,387369,718950
75,280823,333384,614207
76,238135,291918,530053
77,311304,383592,694896
78,307745,383456,691201
79,288061,365204,653265
80,332830,436435,769265
81,329868,447776,777644
82,305937,426823,732760
83,264560,380009,644569
84,226204,335769,561973
85,907259,1718185,2625444
